Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;insegna;settore_merceologico;settore_storico_cf_n;settore_storico_cf_preval;settore_storico_cf_s;superficie_totale;superficie_vendita;MUNICIPIO;LONGIT;LATIT;Location
C-EV/25484;Via CAPECELATRO ALFONSO N. 9| isolato:278| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Via CAPECELATRO ALFONSO;9;6575;mercato dell usato;non alimentare;con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma  attivita'prevalente: mobili e articoli per l'arredamento, casalinghi, elettrodomestici  ;cose usate senza pregio,rigat.;settore non alimentare;255;255;7;9.13319173531;45.4684714216;45.4684714216, 9.13319173531
C-EV/46966;Via CECILIA (SANTA) N. 4|via santa cecilia 004| isolato:190| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via CECILIA (SANTA);4;349;;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: radio, tv, elettrodomestici, materiale elettrico e casalinghi;mobili;settore non alimentare;255;255;1;9.20011509334;45.4672615409;45.4672615409, 9.20011509334
C-EV/48976;VIA TITO LIVIO N. 30| isolato:146| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;VIA TITO LIVIO;30;4086;mercedes benz milano;non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: commercio di autoveicoli e ricambi ;autoveicoli;settore non alimentare;255;255;4;9.21959799763;45.4504177834;45.4504177834, 9.21959799763
C-EV/3368;Via ARBE N. 47 interno superspacci alimentari| isolato:086| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Via ARBE;47;1352;il mercatino di via arbe;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) ;minimercati;settore alimentare/non aliment;336;256;2;9.19794781106;45.4984915679;45.4984915679, 9.19794781106
C-EV/33597;Via ARIMONDI GIUSEPPE N. 55| isolato:308| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via ARIMONDI GIUSEPPE;55;7179;autoriparazioni salvioni;non alimentare;autoricambi  ;accessori e ricambi auto-moto;settore non alimentare;556;256;8;9.15853312172;45.4924685329;45.4924685329, 9.15853312172
C-EV/13269;Via VIGEVANO N. 22| isolato:052| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Via VIGEVANO;22;5116;fontana arredamenti;non alimentare;(con l'esclusione dei prodotti poer i quali è previsto per legge uno specifico diploma)  attivita' prevalente:commercio di mobili, arredamenti, complementi e accessori per l'arredamento ;mobili;settore non alimentare;256;256;6;9.17181516734;45.453206039;45.453206039, 9.17181516734
C-EV/50819;Via TRIVULZIO ANTONIO TOLOMEO N. 15| isolato:014| accesso: accesso interno| (z.d. 7);VENDITA - In sede fissa;Via TRIVULZIO ANTONIO TOLOMEO;15;6277;italbar;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: biscotti latticini articoli per l'igiene della la persona;bar;settore alimentare/non aliment;257;257;7;9.14503585588;45.4654615681;45.4654615681, 9.14503585588
C-EV/10792;Corso MATTEOTTI GIACOMO N. 11|cso matteotti giacomo 011| isolato:263| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Corso MATTEOTTI GIACOMO;11;218;boss hugo boss;Non Alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;abbigliamento uomo;settore non alimentare;355;257;1;9.19704716455;45.4669398855;45.4669398855, 9.19704716455
C-EV/47495;Piazza MENTANA N. 3|pza mentana 003| isolato:349| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Piazza MENTANA;3;560;arc linea;non alimentare;;mobili;xii-elettrodomestici|xii-materiale elettrico|xii sub 1;257;257;1;9.18185382206;45.4615751681;45.4615751681, 9.18185382206
C-EV/63009;Via MANZONI ALESSANDRO N. 31|via manzoni alessandro 031| isolato:254| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MANZONI ALESSANDRO;31;230;armani giorgio retail srl;non alimentare;articoli di abbigliamento e accessori ;abbigliamento;settore non alimentare;257;257;1;9.19310030281;45.4705617955;45.4705617955, 9.19310030281
C-EV/47784;Piazza SCALA (DELLA) N. 5|pza della scala 005| isolato:479| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Piazza SCALA (DELLA);5;201;trussardi;Non Alimentare;abbigliamento e accessori, borse, valige, calzature e articoli in cuoio, articoli da regalo e viaggio ;abbigliamento;settore non alimentare;258;258;1;9.1890898402;45.4670632305;45.4670632305, 9.1890898402
C-EV/43484;Via ROSMINI ANTONIO N. 11| isolato:110| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via ROSMINI ANTONIO;11;7132;kathay china food store;Non Alimentare|Alimentare;;drogheria;i (cont.anteced. d.m. 375/88)|xiv sub 34|vi|v|xii sub 2;300;259;1;9.17470950235;45.4804795794;45.4804795794, 9.17470950235
EV/114273;PIAZZA TRE TORRI snc (z.d. 8);VENDITA - In sede fissa;PIAZZA TRE TORRI;;6934;;Alimentare|Non Alimentare;;;;402;259;;;;
C-EV/9775;Via MAMBRETTI ANTONIO N. 29| isolato:112| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via MAMBRETTI ANTONIO;29;7455;salina albera;non alimentare;;mobili;xiv prodotti per la casa|xii-radio e tv|xii-elettrodomestici|xii-materiale elettrico|xii sub 1|xiv prodotti per l'edilizia|x;260;260;8;9.13007999595;45.5101494249;45.5101494249, 9.13007999595
C-EV/48699;Corso MONFORTE N. 2|cso monforte 002| isolato:264| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Corso MONFORTE;2;348;splendori;non alimentare;;gioielleria e oreficeria;settore non alimentare;260;260;1;9.19824651982;45.4667249465;45.4667249465, 9.19824651982
C-EV/49148;VIA BERTANI AGOSTINO N. 2| isolato:135| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA BERTANI AGOSTINO;2;703;di x di;alimentare|non alimentare;;minimercati;settore alimentare/non aliment;365;260;;;;
C-EV/44375;Via OLONA N. 25| isolato:224| accesso: accesso interno| (z.d. 1);VENDITA - In sede fissa;Via OLONA;25;5090;;non alimentare;carte da parati-moquettes-oggetti d'arredamento;arredamenti;xiv|xii sub 1|x;261;261;1;9.17119220385159;45.4595868581695;45.4595868581695, 9.17119220385159
C-EV/38558-1;Via CUSANI N. 10 (z.d. 1);VENDITA - In sede fissa;Via CUSANI;10;719;;non alimentare;;;xiv-antichita' e opere d' arte;261;261;1;9.18412932538;45.4688811706;45.4688811706, 9.18412932538
C-EV/33334;Via MONTE NAPOLEONE N. 20|via monte napoleone 020/4| isolato:258| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MONTE NAPOLEONE;20;219;salvatore ferragamo;Non Alimentare;;boutique;xiv prodotti per la persona|x|ix;579;263;1;9.19372555194;45.4695384318;45.4695384318, 9.19372555194
C-EV/31853;Corso LODI N. 47| isolato:182| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Corso LODI;47;4068;;non alimentare;;in attesa di revoca;xiv sub 31|xiv sub 16;315;263;4;9.21159536393;45.4466981782;45.4466981782, 9.21159536393
C-EV/37219;Via QUARENGHI GIACOMO N. 23| isolato:300| accesso: accesso interno| (z.d. 8);VENDITA - In sede fissa;Via QUARENGHI GIACOMO;23;7478;libri e cose;non alimentare;;libreria;settore non alimentare;265;263;8;9.11479754273;45.495837865;45.495837865, 9.11479754273
C-EV/26743;Via INGANNI ANGELO N. 64| isolato:055| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Via INGANNI ANGELO;64;6672;2f climatizzazione;non alimentare;elettrodomestici ;radio tv, elettrodom,app.radio;settore non alimentare;300;264;6;9.1242553549;45.4543298469;45.4543298469, 9.1242553549
EV/105316;Galleria PASSARELLA N. 2 (z.d. 1);VENDITA - In sede fissa;Galleria PASSARELLA;2;303;;Non Alimentare;;;;475;264;1;9.19713258636;45.4656162338;45.4656162338, 9.19713258636
C-EV/13230-1;Via SAVONA N. 25 (z.d. 5);VENDITA - In sede fissa;Via SAVONA;25;5122;;non alimentare;;;xiv-porte blindate;265;265;6;9.16634751881;45.4548510121;45.4548510121, 9.16634751881
C-EV/38676-1;Via VISCONTI DI MODRONE UBERTO N. 12 (z.d. 1);VENDITA - In sede fissa;Via VISCONTI DI MODRONE UBERTO;12;361;;non alimentare;;;xiv-access.e pezzi ricam.auto|xiv-moto e cicli|xiv-automobili;265;265;1;9.19995542499;45.4644258973;45.4644258973, 9.19995542499
C-EV/48832;Via MOROSINI EMILIO N. 7| isolato:046| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via MOROSINI EMILIO;7;3073;bellani;non alimentare;;profumeria;xiv prodotti per la persona;265;265;4;9.21155796517;45.4610469739;45.4610469739, 9.21155796517
C-EV/54934;Via SPIGA (DELLA) num.019/a| isolato:260| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via SPIGA (DELLA);;226;tiffany;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  ;gioielleria e oreficeria;settore non alimentare;266;266;;;;
C-EV/46166;Via LAMARMORA ALFONSO N. 21| isolato:114| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via LAMARMORA ALFONSO;21;4103;willy sport;non alimentare;;articoli sportivi;xiv prod. sport e tempo libero;266;266;1;9.19979658757;45.4567876013;45.4567876013, 9.19979658757
C-EV/11288;Piazza OTTO NOVEMBRE N. 6| isolato:149| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Piazza OTTO NOVEMBRE;6;2187;;non alimentare;;casalinghi;xiv ferramenta|xiv-attr.macch.art.tecn.ind.|xiv sub 1|xii sub 2|xii sub 3;270;267;3;9.21088368972;45.4743068101;45.4743068101, 9.21088368972
C-EV/18677;Corso MATTEOTTI GIACOMO N. 14|cso matteotti giacomo 014| isolato:316| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Corso MATTEOTTI GIACOMO;14;218;;non alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;giocattoli;settore non alimentare;267;267;1;9.19610816298;45.4668030056;45.4668030056, 9.19610816298
C-EV/75153;Via VERRI PIETRO N. 8|via verri pietro 008| isolato:315| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via VERRI PIETRO;8;223;;non alimentare;abbigliamento - accessori ;abbigliamento;settore non alimentare;364;267;1;9.19493682761;45.4678772861;45.4678772861, 9.19493682761
EV/114414;VIA CORDUSIO N. 2 (z.d. 1);VENDITA - In sede fissa;VIA CORDUSIO;2;627;;Non Alimentare;;;;796;267;1;9.18571231323;45.4649892789;45.4649892789, 9.18571231323
C-EV/29003;Via ORSO (DELL') num.007/a| isolato:311| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via ORSO (DELL');;123;;non alimentare;;mobili;xii sub 3|xii sub 1|xiv sub 36|xiv sub 25|xiv sub 31;441;269;;;;
C-EV/35005;Via ENNIO N. 6| isolato:121| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via ENNIO;6;4090;;non alimentare;prodotti per lo sport ed il tempo libero - prodotti per l'edilizia|;materiali da costruzione;xiv|xii sub 3|xii sub 2|xii sub 1;269;269;4;9.21622958518;45.4534702153;45.4534702153, 9.21622958518
C-EV/23043;VIALE PISA N. 10 (z.d. 7);VENDITA - In sede fissa;VIALE PISA;10;703;punto sma;alimentare|non alimentare;con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente alimentare ;supermercato alimentare;settore alimentare/non aliment;691;270;;;;
C-EV/24442;Via STRIGELLI GAETANO num.013/int| isolato:078| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via STRIGELLI GAETANO;;3214;;non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  attivita' prevalente: stoffe per arredamento ;articoli tessili per arredamen;settore non alimentare;270;270;;;;
C-EV/50810;Corso GOTTARDO (SAN) N. 11| isolato:095| accesso: accesso esterno| (z.d. 5);VENDITA - In sede fissa;Corso GOTTARDO (SAN);11;5203;prenatal;non alimentare;calze e abbigliamento intimo ;art.per la mamma e il bambino articoli;settore non alimentare;291;270;5;9.18008767096;45.4505789724;45.4505789724, 9.18008767096
C-EV/25376;Via VENINI GIULIO E CORRADO N. 87| isolato:320| accesso: accesso esterno| (z.d. 2);VENDITA - In sede fissa;Via VENINI GIULIO E CORRADO;87;2258;;non alimentare;;autoveicoli;xiv sub 10;270;270;2;9.2168955021;45.4944807331;45.4944807331, 9.2168955021
C-EV/27950;Via BIGLI N. 19|via bigli 019| isolato:363| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via BIGLI;19;224;;non alimentare;;antichita' e oggetti d'arte,an;xiv sub 4;380;270;1;9.19334446086;45.4691927893;45.4691927893, 9.19334446086
C-EV/43781;Viale ARETUSA N. 37| isolato:003| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Viale ARETUSA;37;6565;euronics point;non alimentare;elettrodomestici ;radio tv, elettrodom,app.radio;settore non alimentare;333;270;7;9.13729505085;45.4657548519;45.4657548519, 9.13729505085
C-EV/33121;Ripa PORTA TICINESE (DI) N. 73| isolato:068| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Ripa PORTA TICINESE (DI);73;5150;ecliss top garden;non alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;mobili;settore non alimentare;270;270;6;9.16889017942;45.4502479923;45.4502479923, 9.16889017942
C-EV/44615;VIA MOLINO DELLE ARMI N. 49|via molino delle armi 049| isolato:126| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA MOLINO DELLE ARMI;49;591;;non alimentare;|complementi di arredamento|;mobili;xii sub 2|xiv|xii sub 1;270;270;1;9.18146447703;45.4571564687;45.4571564687, 9.18146447703
C-EV/45514;VIA FARA GUSTAVO N. 35| isolato:289| accesso: accesso esterno| (z.d. 9);VENDITA - In sede fissa;VIA FARA GUSTAVO;35;1183;;alimentare|non alimentare;supemercato  ;minimercati;settore alimentare/non aliment;270;270;9;9.19884188983;45.4853845173;45.4853845173, 9.19884188983
C-EV/10407;Via PETITTI CARLO ILARIONE N. 5| isolato:330| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via PETITTI CARLO ILARIONE;5;7161;;non alimentare;;autoveicoli;xiv sub 10;370;270;8;9.15317241829;45.4887182786;45.4887182786, 9.15317241829
C-EV/48678-1;Via MONTE NAPOLEONE num.006/a| (z.d. 1);VENDITA - In sede fissa;Via MONTE NAPOLEONE;;219;;;;;;270;270;;;;
C-EV/19626;Via TORINO N. 21|via torino 021| isolato:446| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via TORINO;21;543;;non alimentare;;abbigliamento uomo;xi (cont.ant. d.m. 375/88)|ix (cont.antec. d.m. 375/88)|xiv-bigiott.ornam. e minuter.|xiv-biancheria intima|xiv-valig.non in pelle ne'cuoi|xiv-access. abbigliamento|x;270;270;1;9.18722243836;45.4627410547;45.4627410547, 9.18722243836
C-EV/43906;Via BIANCHI MOSE' N. 94 loc. interno| isolato:220| accesso: accesso interno| (z.d. 7);VENDITA - In sede fissa;Via BIANCHI MOSE';94;6385;;alimentare|non alimentare;oggettistica varia;libreria;xiv|xiv-videocassette|xiv-arredamenti sacri|xiii (libri)|i;271;271;7;9.14537616525;45.4755252815;45.4755252815, 9.14537616525
C-EV/36517;Viale MONZA N. 289 (z.d. 2);VENDITA - In sede fissa;Viale MONZA;289;2274;;non alimentare;;;settore non alimentare;378;272;2;9.22495003141;45.5148576093;45.5148576093, 9.22495003141
C-EV/26266;Largo AUGUSTO N. 10|lgo augusto 010| isolato:267| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Largo AUGUSTO;10;315;giovenzana;non alimentare;(attivita' prevalente foto cine ottica) ;cine-foto-ottica-art.scientifi;settore non alimentare;314;273;1;9.19779900701;45.4630806023;45.4630806023, 9.19779900701
C-EV/45998-1;Corso GARIBALDI GIUSEPPE N. 127 (z.d. 1);VENDITA - In sede fissa;Corso GARIBALDI GIUSEPPE;127;1010;;non alimentare;;;xiv-oggetti usati senza pregio;273;273;1;9.18633292129;45.480013784;45.480013784, 9.18633292129
C-EV/24703;Via ALDINI ANTONIO num.028/b| isolato:097| accesso: accesso esterno| (z.d. 8);VENDITA - In sede fissa;Via ALDINI ANTONIO;;7461;;non alimentare;;mobili;xii sub 1;414;276;;;;
C-EV/36021;Via TORINO N. 34|via torino 034| isolato:441| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via TORINO;34;543;datch;non alimentare;abbigliamento e accessori calzature ;abbigliamento;settore non alimentare;311;276;1;9.18584910114;45.4620742439;45.4620742439, 9.18584910114
C-EV/43391;Via LIPPI FILIPPINO N. 19| isolato:045| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Via LIPPI FILIPPINO;19;2196;ronchi arredamenti snc;non alimentare;;mobili;xii-elettrodomestici|xii sub 1;277;277;3;9.22108982848;45.4810215516;45.4810215516, 9.22108982848
C-EV/38177;Via TITO LIVIO N. 28| isolato:146| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via TITO LIVIO;28;4086;milano star mercedes benz;non alimentare;;autoveicoli;xiv prod.meccanica strum e att|xiv prod. sport e tempo libero;277;277;4;9.21924637662;45.4505619535;45.4505619535, 9.21924637662
EV/103213;Via TORINO N. 44 (z.d. 1);VENDITA - In sede fissa;Via TORINO;44;543;;Non Alimentare;;;;419;277;1;9.18501804867;45.4613294946;45.4613294946, 9.18501804867
EV/103213;Via TORINO N. 44 (z.d. 1);VENDITA - In sede fissa;Via TORINO;44;543;;Non Alimentare;;;;419;277;1;9.18500731025;45.46131685;45.46131685, 9.18500731025
C-EV/44809;Via MANZONI ALESSANDRO N. 7|via manzoni alessandro 007| isolato:364| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;Via MANZONI ALESSANDRO;7;230;tenda davide cenci;non alimentare;articoli di abbigliamento per uomo donna e bambino ;abbigliamento;settore non alimentare;278;278;1;9.19100523402;45.4685294543;45.4685294543, 9.19100523402
EV/111049;Via MAC MAHON N. 77 (z.d. 8);VENDITA - In sede fissa;Via MAC MAHON;77;7221;;Non Alimentare;;;;30;278;8;9.15841694807;45.4933359267;45.4933359267, 9.15841694807
C-EV/49939;VIALE GIOVANNI DA CERMENATE N. 27| isolato:010| accesso: accesso esterno| (z.d. 5);VENDITA - In sede fissa;VIALE GIOVANNI DA CERMENATE;27;703;di per di;alimentare|non alimentare;(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma)  attivita' prevalente commercio al dettaglio generi alimentari ;supermercato alimentare;settore alimentare/non aliment;366;278;;;;
C-EV/50187;VIA CASORETTO N. 45| isolato:006| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;VIA CASORETTO;45;2420;;non alimentare;(con l'esclusione dei prodotti per i quali è previsto per legge uno specifico diploma)  attivita' prevalente: vendita di auto nuove e relativi accessori ;autoveicoli;settore non alimentare;280;280;3;9.2322148444;45.4894008048;45.4894008048, 9.2322148444
C-EV/26299;VIA MAGGI CARLO MARIA N. 10 isolato:124| accesso: accesso esterno| (z.d. 1);VENDITA - In sede fissa;VIA MAGGI CARLO MARIA;10;703;punto sma;alimentare;con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma  ;minimercati;settore alimentare;458;280;;;;
C-EV/27552;Via CACCIATORI BENEDETTO N. 12| isolato:063| accesso: accesso interno| (z.d. 7);VENDITA - In sede fissa;Via CACCIATORI BENEDETTO;12;6305;;non alimentare;;spaccio aziendale non aliment.;xiv sub 15|xii sub 2|xi (cont.ant. d.m. 375/88)|ix (cont.antec. d.m. 375/88)|xiv sub 6|x|xii sub 1;280;280;7;9.11006961918;45.4716266825;45.4716266825, 9.11006961918
C-EV/28203;Via PAISIELLO GIOVANNI N. 1| isolato:063| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Via PAISIELLO GIOVANNI;1;2245;;non alimentare;;cine-foto-ottica-art.scientifi;xiv sub 13/a;550;280;3;9.21758722326;45.4814775371;45.4814775371, 9.21758722326
C-EV/42947;Viale BLIGNY N. 54| isolato:108| accesso: accesso esterno| (z.d. 5);VENDITA - In sede fissa;Viale BLIGNY;54;4045;crai;alimentare|non alimentare;;minimercati;vi|i (cont.anteced. d.m. 375/88)|xiv sub 1|xiv sub 48;280;280;5;9.1944572963;45.450813059;45.450813059, 9.1944572963
C-EV/43852;codvia 0198 num.010| isolato:065| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;;;;;non alimentare;;cartoleria cancelleria;xiv-cancelleria|xiv-cartoleria|xiv-computers;280;280;;;;
C-EV/13298;Viale TIBALDI N. 3| isolato:160| accesso: accesso esterno| (z.d. 5);VENDITA - In sede fissa;Viale TIBALDI;3;5234;;non alimentare;;mobili;xii sub 1;280;280;5;9.17724122071;45.4438203032;45.4438203032, 9.17724122071
C-EV/14293;Largo TREVES CLAUDIO N. 2| isolato:247| accesso: accesso esterno| (z.d. 3);VENDITA - In sede fissa;Largo TREVES CLAUDIO;2;1026;argenteria dabbene;non alimentare;;argenteria;xiv sub 9|xiv sub 4|xiv sub 36|xiv sub 12|xiv sub 26;460;280;1;9.18715805951;45.4752182651;45.4752182651, 9.18715805951
C-EV/20797;Via GAGGIA PIETRO N. 1| isolato:070| accesso: accesso esterno| (z.d. 4);VENDITA - In sede fissa;Via GAGGIA PIETRO;1;4187;;non alimentare;;mobili;xii sub 1|x;300;280;4;9.2308867115;45.4371464661;45.4371464661, 9.2308867115
EV/105530;Via LEOPARDI GIACOMO N. 7 (z.d. 1);VENDITA - In sede fissa;Via LEOPARDI GIACOMO;7;6156;;Alimentare|Non Alimentare;;;;504;280;1;9.17509654963;45.4675781699;45.4675781699, 9.17509654963
EV/109114;Via DE CRISTOFORIS CARLO N. 1 Int. N01 (z.d. 9);VENDITA - In sede fissa;Via DE CRISTOFORIS CARLO;1;1120;;Non Alimentare;;;;421;280;9;9.18795210514;45.482323124;45.482323124, 9.18795210514
C-EV/40827-1;Corso VERCELLI N. 8| isolato:217| accesso: accesso esterno| (z.d. 6);VENDITA - In sede fissa;Corso VERCELLI;8;6193;dev;non alimentare;;boutique;xiv-articoli sportivi|xiv-valig.non in pelle ne'cuoi|ix;281;281;7;9.16356638525;45.4663810253;45.4663810253, 9.16356638525
C-EV/32478;Corso GOTTARDO (SAN) N. 19| isolato:095| accesso: accesso esterno| (z.d. 5);VENDITA - In sede fissa;Corso GOTTARDO (SAN);19;5203;gottardo sport;non alimentare;;articoli sportivi;xi (cont.ant. d.m. 375/88)|xiv prod. sport e tempo libero;283;283;5;9.18001184501;45.4500208906;45.4500208906, 9.18001184501
C-EV/43398-1;Via CATULLO N. 8 loc. interno| (z.d. 8);VENDITA - In sede fissa;Via CATULLO;8;7428;;non alimentare;;;xiv-roulottes|xiv-automobili-moto e cicli;286;286;8;9.13465805698;45.4970299617;45.4970299617, 9.13465805698
C-EV/13675;Via NOVARA N. 127| isolato:038| accesso: accesso esterno| (z.d. 7);VENDITA - In sede fissa;Via NOVARA;127;6624;;non alimentare;;radio tv, elettrodom,app.radio;xii sub 3|xiii (cont.antec. d.m. 375/88)|xii sub 1;286;286;7;9.11700439563;45.4738533081;45.4738533081, 9.11700439563
C-EV/30639;Via GALLI MARIO N. 19| isolato:013| accesso: accesso interno| (z.d. 9);VENDITA - In sede fissa;Via GALLI MARIO;19;1304;;non alimentare;;auto-moto-cicli;xiv sub 10;358;287;9;9.19337086111;45.5039217127;45.5039217127, 9.19337086111
